MOF, H,C,N,F,Cl,Br,Zn,Cu,Cd,Co,Mn,Ag,Ni,Fe,Mo,In,metal type, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen 
ABAVIJ_clean.cif,32,48,8,0,0,0,0,0,0,4,0,0,0,0,0,0, Co,31,8.333333333,4,0.222222222,0.734814815,0.5
ABAYIO_clean.cif,96,288,0,0,48,0,0,0,0,0,48,0,0,0,0,0, Mn,217,16.66666667,4,0.357142857,1.208571429,0
ABAYOU_clean.cif,96,288,0,0,48,0,0,0,0,48,0,0,0,0,0,0, Co,217,16.66666667,4,0.357142857,1.208571429,0
ABEFUL_clean.cif,48,88,8,0,0,0,0,0,0,0,0,0,0,0,0,0, ,63,2.272727273,12,0.179775281,0.600449438,0.333333333
ABESUX_clean.cif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,0,3.2,0.64,2.2016,0
ABETAE_clean.cif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,0,3.2,0.64,2.2016,0
ABETIN_clean.cif,288,416,64,0,0,0,0,16,0,0,0,0,0,0,0,0, Cu,257,3.846153846,0,0.081632653,0.248163265,0
ABEXEM_clean.cif,16,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0, ,45,14.28571429,6,0.444444444,1.484444444,0.333333333
ABEXEN_clean.cif,120,240,0,0,0,0,0,0,0,0,0,0,0,0,0,12, In,181,5,8,0.2,0.688,0
ABEXIQ_clean.cif,16,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0, ,45,14.28571429,6,0.444444444,1.484444444,0.333333333
ABEXOW_clean.cif,16,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0, ,45,14.28571429,6,0.444444444,1.484444444,0.333333333
ABEXUC_clean.cif,16,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0, ,45,14.28571429,6,0.444444444,1.484444444,0.333333333
ABEYAJ_clean.cif,16,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0, ,45,14.28571429,6,0.444444444,1.484444444,0.333333333
ABEYEN_clean.cif,16,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0, ,45,14.28571429,6,0.444444444,1.484444444,0.333333333
ABEYIR_clean.cif,16,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0, ,45,14.28571429,6,0.444444444,1.484444444,0.333333333
ABIXOZ_clean.cif,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0, CoMo,1,0,3.466666667,0.693333333,2.385066667,0
ABIYIV_clean.cif,112,160,40,0,0,0,0,0,0,12,0,0,0,0,0,0, Co,95,7.5,2.666666667,0.202247191,0.650786517,1.25
ABULOB_clean.cif,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-7,0,4,0.52173913,1.794782609,0
ABUWOJ_clean.cif,56,96,0,0,0,0,16,0,0,0,0,0,0,0,0,0, Zn,69,16.66666667,3.5,0.25,0.86,0
ac403674p_si_001_clean.cif,102,72,12,0,0,6,6,0,0,0,0,0,0,0,0,0, Zn,16,8.333333333,2,0.142857143,0.454857143,1
ACAJIY_clean.cif,144,90,144,0,0,0,6,0,0,0,0,0,0,0,0,0, Zn,-17,6.666666667,0,0.375,1.14,0
ACAJIZ_clean.cif,96,88,8,0,0,0,0,8,0,0,0,0,0,0,0,0, Cu,39,9.090909091,4,0.172413793,0.579310345,0.25
ACAJOF_clean.cif,104,92,8,0,0,0,0,8,0,0,0,0,0,0,0,0, Cu,39,8.695652174,4,0.163934426,0.550819672,0.25
ACAKUM_clean.cif,32,72,12,0,0,0,0,0,0,0,0,0,0,0,0,0, ,54,5.555555556,8,0.289473684,0.964210526,0.375
ACALIB_clean.cif,32,72,12,0,0,0,0,0,0,0,0,0,0,0,0,0, ,54,5.555555556,8,0.289473684,0.964210526,0.375
ACECIV_ion_b.cif,72,60,12,0,0,0,0,0,0,0,0,0,0,0,0,0, ,22,40,2,0.263157895,0.884210526,0.25
ACIBIY_clean.cif,72,72,0,0,0,0,0,0,0,36,0,0,0,0,0,0, Co,37,50,4,0.444444444,1.528888889,0
ACIBOE_clean.cif,24,72,0,0,0,0,12,0,0,0,0,0,0,0,0,0, Zn,61,16.66666667,4.333333333,0.325,1.118,0
ACODON_clean.cif,50,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,62,4.651162791,8,0.181818182,0.625454545,0
ACODUT_clean.cif,78,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,88,1.587301587,6,0.055045872,0.189357798,0
ACOGAB_clean.cif,72,64,24,0,0,4,0,0,2,0,0,0,0,0,0,0, Cd,21,3.125,4,0.206896552,0.645517241,3
ACOGEF_clean.cif,72,64,24,0,0,0,0,0,2,0,0,0,0,0,0,0, Cd,21,3.125,4,0.183908046,0.577471264,3
ACOLEL_clean.cif,190,260,50,0,0,0,0,0,0,0,10,0,0,0,0,0, Mn,153.5,3.846153846,4,0.163636364,0.526545455,1.25
ACOLIP_clean.cif,38,44,10,0,0,0,2,0,0,0,0,0,0,0,0,0, Zn,23.5,4.545454545,4,0.176470588,0.567843137,1.25
ACOLOV_clean.cif,160,208,0,0,0,0,0,0,12,0,0,0,0,0,0,0, Cd,129,5.769230769,6.333333333,0.166666667,0.573333333,0
acs.cgd.5b01554_VAGNUP1452791_clean.cif,168,48,0,0,0,0,0,16,0,0,0,0,0,0,0,0, Cu,-35,66.66666667,3,0.244897959,0.84244898,0
acs.cgd.5b01686_WAHFUJ1434675_clean.cif,44,72,20,0,0,0,0,4,0,0,0,0,0,0,0,0, Cu,46,5.555555556,6,0.268292683,0.874146341,0.833333333
acs.cgd.6b00163_UKEBOD1448508_clean.cif,128,232,24,0,8,0,0,0,4,0,0,0,0,0,0,0, Cd,159,1.724137931,16,0.208695652,0.692173913,0.375
acs.cgd.6b00463_OLOMUZ1451936_clean.cif,216,432,72,0,0,0,0,0,0,0,0,72,0,0,0,0, Ag,307,25,1.333333333,0.206896552,0.684137931,0.5
acs.chemmater.5b03723_cm5b03723_si_004_clean.cif,528,516,24,0,0,0,0,24,0,0,0,0,0,0,0,0, Cu,247,4.651162791,7,0.152380952,0.516571429,0.142857143
acs.chemmater.5b03723_cm5b03723_si_005_clean.cif,384,444,24,0,0,0,0,24,0,0,0,0,0,0,0,0, Cu,247,5.405405405,5,0.144578313,0.487710843,0.2
acs.chemmater.6b02817_cm6b02817_si_004_clean.cif,72,192,24,0,0,0,0,0,0,0,0,0,0,24,0,0, Fe,151,12.5,4.333333333,0.307692308,1.035384615,0.230769231
acs.chemrev.6b00346_cr6b00346_si_001_clean.cif,0,120,48,0,0,0,18,0,0,0,0,0,0,0,0,0, Zn,109,15,0.666666667,0.303030303,0.945454545,4
acs.inorgchem.5b02108_ic5b02108_si_002_clean.cif,32,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,49,12.5,5,0.277777778,0.955555556,0
acs.inorgchem.5b02378_ic5b02378_si_002_clean.cif,48,192,24,0,0,0,0,0,0,0,0,0,4,0,0,0, Ni,163,6.25,8.666666667,0.336842105,1.133473684,0.230769231
acs.inorgchem.5b02973_ic5b02973_si_002_clean.cif,54,90,6,18,0,0,0,3,0,0,0,0,0,0,0,0, Cu,53.5,3.333333333,4,0.196721311,0.716721311,0.5
acs.inorgchem.6b00081_ic6b00081_si_001_clean.cif,288,432,180,0,0,0,0,0,0,0,0,0,18,0,0,0, Ni,244,4.166666667,0,0.196078431,0.596078431,0
acs.inorgchem.6b00136_ic6b00136_si_002_clean.cif,80,144,20,0,0,0,8,0,0,0,0,0,0,0,0,0, Zn,100,5.555555556,4,0.183098592,0.601690141,0.625
acs.inorgchem.6b00276_ic6b00276_si_006_clean.cif,1404,1188,108,0,0,0,24,0,0,36,0,0,0,0,0,0, ZnCo,460,5.050505051,4,0.114624506,0.380079051,0.45
acs.inorgchem.6b00433_ic6b00433_si_002_clean.cif,48,72,24,0,0,0,0,2,0,0,0,0,0,0,0,0, Cu,43,2.777777778,0,0.164383562,0.499726027,0
acs.inorgchem.6b00894_ic6b00894_si_002_clean.cif,192,280,32,0,0,0,12,0,0,0,0,0,0,0,0,0, Zn,177,4.285714286,4,0.141843972,0.465248227,0.666666667
acs.inorgchem.6b00894_ic6b00894_si_003_clean.cif,192,280,32,0,0,0,0,0,12,0,0,0,0,0,0,0, Cd,177,4.285714286,4,0.141843972,0.465248227,0.666666667
acs.inorgchem.6b01211_ic6b01211_si_002_clean.cif,90,234,36,0,0,0,0,18,0,0,0,0,0,0,0,0, Cu,181,7.692307692,4,0.24,0.7936,0.5
acs.inorgchem.6b01416_ic6b01416_si_004_clean.cif,192,288,32,0,0,0,0,0,16,0,0,0,0,0,0,0, Cd,185,5.555555556,4,0.162162162,0.536216216,0.5
acs.inorgchem.6b01569_ic6b01569_si_002_clean.cif,128,144,16,0,0,0,0,0,0,0,0,0,8,0,0,0, Ni,77,5.555555556,4,0.146341463,0.483902439,0.5
acs.inorgchem.6b01740_ic6b01740_si_002_clean.cif,384,624,240,0,0,0,0,0,0,24,0,0,0,0,0,0, Co,373,3.846153846,0,0.181818182,0.552727273,0
acs.inorgchem.6b01762_ic6b01762_si_002_clean.cif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,0,6.227272727,0.740540541,2.547459459,0
acs.inorgchem.6b02407_ic6b02407_si_002_clean.cif,24,80,0,0,0,0,4,0,0,0,0,0,0,0,0,0, Zn,69,10,4,0.222222222,0.764444444,0
acs.inorgchem.6b02407_ic6b02407_si_003_clean.cif,48,160,0,0,0,0,8,0,0,0,0,0,0,0,0,0, Zn,137,10,4,0.222222222,0.764444444,0
acs.inorgchem.6b02413_ic6b02413_si_002_clean.cif,224,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,225,7.142857143,5.333333333,0.179775281,0.618426966,0
acs.inorgchem.6b02514_ic6b02514_si_002_clean.cif,40,28,44,0,0,0,0,12,0,0,0,0,0,0,0,0, Cu,-2,42.85714286,0,0.35483871,1.078709677,0
acs.inorgchem.6b02696_ic6b02696_si_002_clean.cif,576,768,960,0,0,0,144,0,0,0,0,0,0,0,0,0, Zn,241,18.75,2.666666667,0.474576271,1.496949153,2.5
acs.jchemed.6b00258_ed6b00258_si_005_clean.cif,56,68,40,0,0,0,0,8,0,0,0,0,0,0,0,0, Cu,31,11.76470588,2,0.29787234,0.939574468,2.5
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean.cif,56,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,69,12.5,5.333333333,0.280701754,0.965614035,0
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean.cif,72,144,0,0,0,0,6,0,18,0,0,0,0,0,0,0, ZnCd,109,16.66666667,3.25,0.245283019,0.843773585,0
acscombsci.5b00188_24205_clean.cif,9,17,3,0,0,0,2,0,0,0,0,0,0,0,0,0, Zn,12.75,11.76470588,4,0.282051282,0.939487179,0.375
acscombsci.5b00188_3001288_clean.cif,48,74,8,0,0,0,0,8,0,0,0,0,0,0,0,0, Cu,49,10.81081081,7.375,0.340101523,1.153705584,0.13559322
acscombsci.5b00188_34903_clean.cif,7,28,2,0,0,9,0,2,0,0,0,0,0,0,0,0, Cu,20.5,7.142857143,4,0.339285714,1.075714286,0.25
acscombsci.5b00188_5013797_clean.cif,76,65,0,0,0,0,4,0,0,0,0,0,0,0,0,0, Zn,28,6.153846154,5.5,0.131736527,0.453173653,0
acscombsci.5b00188_5020072_clean.cif,18,50,8,0,0,0,4,0,0,0,0,0,0,0,0,0, Zn,40,8,3.25,0.225806452,0.742365591,0.615384615
acscombsci.5b00188_5024922_clean.cif,24,50,8,0,0,0,4,0,0,0,0,0,0,0,0,0, Zn,37,8,5.75,0.28440367,0.948990826,0.347826087
acscombsci.5b00188_5036495_clean.cif,16,32,2,0,0,0,2,0,0,0,0,0,0,0,0,0, Zn,24.5,6.25,5,0.193548387,0.652903226,0.2
acscombsci.5b00188_5040209_clean.cif,8,36,2,10,0,0,2,0,0,0,0,0,0,0,0,0, Zn,27.5,5.555555556,4,0.303030303,1.112121212,0.25
acscombsci.5b00188_8372_clean.cif,2,20,0,6,0,0,4,0,0,0,0,0,0,0,0,0, Zn,17,20,3.25,0.422222222,1.524444444,0
ACUBAB_clean.cif,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0, Zn,0,0,3,0.641025641,2.197948718,0
ACUFEK_clean.cif,192,384,48,0,0,0,0,24,0,0,0,0,0,0,0,0, Cu,277,6.25,4,0.193548387,0.64,0.5
ACUJOZ_manual.cif,288,648,0,0,0,0,0,54,0,0,0,0,0,0,0,0, Cu,505,11.11111111,3.75,0.211267606,0.726760563,0
ACUTOI_clean.cif,72,88,8,0,0,0,0,0,8,0,0,0,0,0,0,0, Cd,51,18.18181818,3.5,0.258064516,0.87483871,0.142857143
ADABIS_clean.cif,28,34,20,0,0,0,0,4,0,0,0,0,0,0,0,0, Cu,16,11.76470588,2,0.29787234,0.939574468,2.5
ADABUE_clean.cif,28,34,20,0,0,0,0,4,0,0,0,0,0,0,0,0, Cu,16,11.76470588,2,0.29787234,0.939574468,2.5
ADARAA_clean.cif,480,1152,96,0,0,96,0,0,0,72,0,0,0,0,0,0, Co,841,6.25,3,0.193181818,0.624545455,0.444444444
ADASAB_charged.cif,264,504,96,0,0,0,0,48,0,0,0,0,0,0,0,0, Cu,349,9.523809524,3.666666667,0.25,0.824705882,0.545454545
ADASEF_clean.cif,168,360,96,0,0,0,0,48,0,0,0,0,0,0,0,0, Cu,253,13.33333333,2.166666667,0.257731959,0.837113402,0.923076923
ADASIJ_clean.cif,144,264,0,0,0,0,0,24,0,0,0,0,0,0,0,0, Cu,193,9.090909091,5,0.217391304,0.747826087,0
ADASOP_clean.cif,144,264,0,0,0,0,24,0,0,0,0,0,0,0,0,0, Zn,193,9.090909091,5,0.217391304,0.747826087,0
ADASUV_clean.cif,144,264,0,0,0,0,0,0,0,24,0,0,0,0,0,0, Co,193,9.090909091,5.333333333,0.228571429,0.786285714,0
ADATAC_clean.cif,240,408,48,0,0,0,24,0,0,0,0,0,0,0,0,0, Zn,277,5.882352941,5,0.2,0.665142857,0.4
ADATEG_manual.cif,360,672,8,0,0,0,0,24,0,0,0,0,0,0,0,0, Cu,491,3.571428571,4,0.089655172,0.305655172,0.083333333
ADATIK_clean.cif,192,384,120,0,0,0,0,48,0,0,0,0,0,0,0,0, Cu,259,12.5,2.666666667,0.28440367,0.923302752,0.9375
ADATOQ_clean.cif,288,312,80,0,0,0,0,0,0,0,0,12,0,0,0,0, Ag,149,3.846153846,0,0.115606936,0.351445087,0
ADATUW_clean.cif,288,312,80,0,0,0,0,0,0,0,0,12,0,0,0,0, Ag,149,3.846153846,0,0.115606936,0.351445087,0
ADAVAE_clean.cif,288,312,80,0,0,0,0,0,0,0,0,12,0,0,0,0, Ag,149,3.846153846,0,0.115606936,0.351445087,0
ADAVEI_clean.cif,288,312,80,0,0,0,0,0,0,0,0,12,0,0,0,0, Ag,149,3.846153846,0,0.115606936,0.351445087,0
ADAVIM_clean.cif,264,312,80,0,0,0,0,0,0,0,0,12,0,0,0,0, Ag,161,3.846153846,0,0.119760479,0.364071856,0
ADAXEK_clean.cif,16,26,2,0,0,0,0,0,0,2,0,0,0,0,0,0, Co,18.5,7.692307692,5,0.214285714,0.722857143,0.2
ADAXIO_clean.cif,64,104,8,0,0,0,0,0,0,8,0,0,0,0,0,0, Co,71,7.692307692,5,0.214285714,0.722857143,0.2
ADEGIA01_clean.cif,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19,8.333333333,6,0.24,0.8256,0
ADEGIA_clean.cif,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19,8.333333333,6,0.24,0.8256,0
ADIQEL_clean.cif,24,32,4,0,0,0,0,0,0,2,0,0,0,0,0,0, Co,20,6.25,4,0.171428571,0.566857143,0.5
ADOBAX_charged.cif,64,80,16,0,2,0,0,0,0,0,4,0,0,0,0,0, Mn,44,45,2.111111111,0.343065693,1.154744526,0.210526316
ADOBEB_charged.cif,64,80,16,0,2,0,0,0,0,0,4,0,0,0,0,0, Mn,44,45,2.111111111,0.343065693,1.154744526,0.210526316
ADOBIF_clean.cif,64,80,16,0,0,0,0,0,0,4,0,0,0,0,0,0, Co,45,45,1.666666667,0.296875,0.99625,0.266666667
ADOBOL_charged.cif,64,80,16,0,2,0,0,0,0,4,0,0,0,0,0,0, Co,44,45,2.111111111,0.343065693,1.154744526,0.210526316
ADOBUR_charged.cif,64,80,16,2,0,0,0,0,0,0,0,0,4,0,0,0, Ni,44,45,2.111111111,0.343065693,1.160729927,0.210526316
ADOCEC_clean.cif,64,80,16,0,0,0,0,0,0,0,0,0,4,0,0,0, Ni,45,45,1.444444444,0.274193548,0.917419355,0.307692308
ADODAA_charged.cif,48,96,48,0,0,0,0,24,0,0,0,0,0,0,0,0, Cu,61,25,2.333333333,0.382352941,1.244705882,0.857142857
ADODII_clean.cif,40,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,33,3.846153846,9.5,0.168141593,0.57840708,0
ADODOO_clean.cif,40,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,33,3.846153846,9.5,0.168141593,0.57840708,0
ADODUU_clean.cif,40,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,33,3.846153846,9.5,0.168141593,0.57840708,0
ADOGEH_clean.cif,288,288,96,0,0,0,0,48,0,0,0,0,0,0,0,0, Cu,121,16.66666667,4,0.315789474,1.044210526,0.5
ADUROI_clean.cif,624,1008,144,0,0,0,48,0,0,0,0,0,0,0,0,0, Zn,661,4.761904762,6,0.204545455,0.676363636,0.5
ADUWIH_clean.cif,144,216,0,0,0,0,12,0,0,0,0,0,0,0,0,0, Zn,145,5.555555556,6,0.162162162,0.557837838,0
ADUWON_clean.cif,288,432,0,0,0,0,0,0,0,0,0,0,12,0,0,0, Ni,289,2.777777778,12,0.164383562,0.565479452,0
AFEDIA_clean.cif,32,56,8,0,0,0,0,0,0,0,0,0,1,0,0,0, Ni,39,5.357142857,6.666666667,0.235294118,0.782521008,0.4
AFEJOK_ion_b.cif,32,40,9,18,0,0,0,2,0,0,0,0,0,0,0,0, Cu,13.75,5,1.5,0.12244898,0.446204082,3
AFENEE_clean.cif,72,64,16,0,0,0,0,0,0,0,0,4,0,0,0,0, Ag,25,6.25,0,0.102564103,0.311794872,0
AFIPAH_clean.cif,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,17,20,6,0.428571429,1.474285714,0
AFITEP_clean.cif,32,52,4,0,0,0,2,0,0,0,0,0,0,0,0,0, Zn,36,3.846153846,4,0.12244898,0.404897959,0.5
AFITUF_clean.cif,120,252,12,0,0,24,12,0,0,0,0,0,0,0,0,0, Zn,178,4.761904762,4,0.179487179,0.582564103,0.25
AFIXAO_clean.cif,120,120,80,0,0,0,0,0,0,20,0,0,0,0,0,0, Co,41,16.66666667,0,0.235294118,0.715294118,0
AFIXES_clean.cif,120,120,80,0,0,0,0,0,0,20,0,0,0,0,0,0, Co,41,16.66666667,0,0.235294118,0.715294118,0
AFOQUI_clean.cif,28,52,24,0,0,0,10,0,0,0,0,0,0,0,0,0, Zn,33,19.23076923,2.4,0.347826087,1.126956522,1
AFOTOF_clean.cif,24,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,31,4.761904762,6,0.15,0.516,0
AFOTUL_clean.cif,24,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,31,4.761904762,6,0.15,0.516,0
AFOVAT_clean.cif,24,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,31,4.761904762,6,0.15,0.516,0
AFOVEX_clean.cif,24,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,31,4.761904762,6,0.15,0.516,0
AFOVIB_clean.cif,24,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,31,4.761904762,6,0.15,0.516,0
AFOVOH_clean.cif,24,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,31,4.761904762,6,0.15,0.516,0
AFOYAW_clean.cif,42,50,30,0,0,0,0,4,0,0,0,0,0,0,0,0, Cu,22.5,8,0.5,0.25,0.76625,15
AFOYEB_clean.cif,32,48,0,0,0,0,0,0,0,8,0,0,0,0,0,0, Co,33,16.66666667,8,0.421052632,1.448421053,0
AFOYIE_clean.cif,32,40,24,0,0,0,0,4,0,0,0,0,0,0,0,0, Cu,19,10,0,0.24,0.7296,0
AFOYOK_clean.cif,24,72,24,0,0,0,0,4,0,0,0,0,0,0,0,0, Cu,55,5.555555556,0,0.193548387,0.588387097,0
AFUKET_clean.cif,200,256,16,0,0,0,0,0,0,0,12,0,0,0,0,0, Mn,153,4.6875,6.333333333,0.164285714,0.553714286,0.210526316
AFUKIX_clean.cif,188,262,12,0,0,0,0,0,0,0,12,0,0,0,0,0, Mn,166,4.580152672,6.333333333,0.16,0.541672727,0.157894737
AFUPEX_clean.cif,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,31,11.11111111,6,0.315789474,1.086315789,0
AGABIU_clean.cif,0,60,12,0,0,0,0,0,0,0,0,0,4,0,0,0, Ni,58,16.66666667,3.6,0.406779661,1.358644068,0.333333333
AGARUW_clean.cif,16,44,16,0,0,0,0,0,0,0,0,0,0,0,0,0, ,33,18.18181818,5.5,0.46875,1.5625,0.363636364
AGAYIQ_clean.cif,0,160,16,0,0,24,0,8,0,0,0,0,0,0,0,0, Cu,145,5,6,0.34375,1.1125,0.333333333
AGAYOW_clean.cif,112,288,16,0,0,48,0,24,0,0,0,0,0,0,0,0, Cu,205,8.333333333,4.666666667,0.293333333,0.96,0.142857143
AGESIP_clean.cif,4,16,0,0,0,0,0,6,0,0,0,0,0,0,0,0, Cu,15,37.5,3.333333333,0.434782609,1.495652174,0
AGIMOU_clean.cif,16,8,40,0,4,0,0,0,0,0,6,0,0,0,0,0, Mn,-11,75,0,0.594594595,1.814054054,0
AGIREP_clean.cif,72,216,0,0,0,0,40,0,0,0,0,0,0,0,0,0, Zn,181,18.51851852,3.8,0.316666667,1.089333333,0
AGOFEJ_clean.cif,352,400,64,0,0,0,0,24,0,0,0,0,0,0,0,0, Cu,209,6,2.666666667,0.14159292,0.458761062,1
AGONAM_clean.cif,12,40,0,0,0,0,0,0,4,0,0,0,0,0,0,0, Cd,35,10,8,0.363636364,1.250909091,0
AGONEQ_clean.cif,8,40,0,0,0,0,0,0,4,0,0,0,0,0,0,0, Cd,37,10,8,0.380952381,1.31047619,0
AGOVOJ_clean.cif,0,376,24,0,0,0,0,0,0,0,0,0,0,0,0,24, In,371,6.382978723,3.666666667,0.21875,0.73375,0.272727273
AGUBUA_clean.cif,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0, Zn,-3,0,4,0.52173913,1.794782609,0
AGUTUS_clean.cif,32,32,48,0,0,0,0,4,0,0,0,0,0,0,0,0, Cu,5,12.5,0,0.413793103,1.257931034,0
AGUVOO_charged.cif,144,144,192,24,0,0,0,24,0,0,0,0,0,0,0,0, Cu,13,16.66666667,1.333333333,0.442857143,1.409428571,6
AGUWUV_clean.cif,8,20,12,0,0,0,0,0,0,0,0,0,3,0,0,0, Ni,14,15,2.666666667,0.392156863,1.254901961,1.5
AHAMAY_clean.cif,18,16,0,0,0,0,10,0,0,0,0,0,0,0,0,0, Zn,8,62.5,4.8,0.48,1.6512,0
AHEBAS_clean.cif,120,152,16,0,0,0,0,12,0,0,0,0,0,0,0,0, Cu,89,7.894736842,4.666666667,0.202247191,0.677752809,0.285714286
AHEQAH_clean.cif,60,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,103,3.03030303,6,0.109090909,0.375272727,0
AHINIP_clean.cif,104,112,24,0,0,0,4,0,0,0,0,0,0,0,0,0, Zn,55,3.571428571,4,0.153846154,0.492307692,1.5
AHIYOH_clean.cif,160,288,0,0,0,0,0,0,0,28,0,0,0,0,0,0, Co,209,9.722222222,4.285714286,0.201342282,0.69261745,0
AHIYUN_clean.cif,296,480,0,0,0,0,0,0,0,24,0,0,0,0,0,0, Co,333,5,4.333333333,0.115044248,0.395752212,0
AHOBEG_clean.cif,34,58,8,0,0,0,0,0,0,4,0,0,0,0,0,0, Co,40,6.896551724,5.5,0.238095238,0.793650794,0.363636364
AHOJUC_clean.cif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,0,6,0.666666667,2.293333333,0
AHOKAJ_clean.cif,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0, Fe,1,0,6,0.666666667,2.293333333,0
AHOKIR01_clean.cif,8,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0, Cu,1,50,3,0.272727273,0.938181818,0
AHOKIR_clean.cif,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0, Cu,9,50,3,0.428571429,1.474285714,0
AHOKOX_clean.cif,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0, Cu,11,40,3,0.4,1.376,0
AHOZAA_clean.cif,240,296,16,0,0,0,0,0,16,0,0,0,0,0,0,0, Cd,173,5.405405405,4,0.126582278,0.425316456,0.25
AHUFIU_clean.cif,180,232,16,0,0,0,0,0,0,0,0,8,0,0,16,0, AgMo,139,10.34482759,1.666666667,0.11023622,0.366614173,0.4
AHUTIH01_clean.cif,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,13,20,8,0.444444444,1.528888889,0
AHUTIH_clean.cif,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,17,20,8,0.5,1.72,0
AJAKON_clean.cif,96,168,8,0,0,0,0,0,10,0,0,0,0,0,0,0, Cd,119,5.952380952,4.8,0.16969697,0.574060606,0.166666667
AJAMEF_clean.cif,128,152,24,0,0,0,0,0,0,8,0,0,0,0,0,0, Co,83,5.263157895,2,0.12195122,0.390243902,1.5
AJAYIT_clean.cif,60,48,12,0,0,0,0,6,0,0,0,0,0,0,0,0, Cu,16,20.83333333,4.8,0.337078652,1.13258427,0.25
AJIGIL_clean.cif,348,248,64,0,0,4,0,0,0,4,0,0,0,0,0,0, Co,57,4.838709677,4.666666667,0.168478261,0.542173913,1.142857143
AJINOY_clean.cif,44,52,8,0,0,0,0,2,0,0,0,0,0,0,0,0, Cu,29,3.846153846,6,0.169491525,0.555932203,0.666666667
AJOTEY_clean.cif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,0,4,0.631578947,2.172631579,0
AJOVEB_clean.cif,36,114,0,36,0,0,0,0,12,0,0,0,0,0,0,0, Cd,79,10.52631579,4,0.341463415,1.253658537,0
AJOXAA_clean.cif,24,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,61,11.11111111,6,0.292682927,1.006829268,0
AJUNOK_clean.cif,112,192,32,0,0,0,0,0,8,0,0,0,0,0,0,0, Cd,129,4.166666667,4,0.166666667,0.54,1
AKEDIF_clean.cif,80,112,8,0,0,0,4,0,0,0,0,0,0,0,0,0, Zn,71,3.571428571,4,0.109090909,0.360727273,0.5
AKOBAF_clean.cif,144,160,32,0,0,0,0,0,4,0,0,0,0,0,0,0, Cd,81,2.5,4,0.134831461,0.427865169,2
AKOHEO_clean.cif,4,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0, FeMo,-1,0,3.466666667,0.675324675,2.323116883,0
AKOXIJ_clean.cif,48,344,52,0,0,0,0,0,0,0,0,0,18,0,0,0, Ni,308,5.23255814,6.222222222,0.285714286,0.946620209,0.464285714
AKUHOD01_clean.cif,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,13,22.22222222,6,0.413793103,1.423448276,0
