MOF, H,C,N,F,Cl,Br,Zn,Cu,Cd,Co,Mn,Ag,Ni,Fe,Mo,In,metal type, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen 
UBIBUF_clean.cif,54,144,18,0,0,0,18,0,0,0,0,0,0,0,0,0, Zn,113.5,12.5,4,0.294117647,0.988235294,0.25
UBIPAY_clean.cif,18,30,2,0,0,0,0,0,0,0,2,0,0,0,0,0, Mn,21.5,6.666666667,4,0.166666667,0.56,0.25
UBOGAV_clean.cif,16,28,0,0,0,0,0,2,0,0,0,0,0,0,0,0, Cu,21,17.85714286,4,0.273972603,0.942465753,0
UBULIO_SL.cif,198,300,6,0,0,0,24,0,0,0,0,0,0,0,0,0, Zn,200.5,8,3.75,0.155339806,0.530485437,0.066666667
UBULUA_clean.cif,192,288,96,0,0,0,24,0,0,0,0,0,0,0,0,0, Zn,145,8.333333333,0,0.148148148,0.45037037,0
UBUMAH_clean.cif,56,136,0,0,0,0,16,0,0,0,0,0,0,0,0,0, Zn,109,11.76470588,3.25,0.2,0.688,0
UBUROY_clean.cif,0,12,12,0,0,0,2,8,0,0,0,0,0,0,0,0, ZnCu,10,83.33333333,0,0.352941176,1.072941176,0
UCABAE_clean.cif,50,70,24,0,0,0,0,0,2,0,0,0,0,0,0,0, Cd,40,2.857142857,2,0.186666667,0.578133333,6
UCAJUF_clean.cif,400,1056,96,0,0,0,48,0,0,0,0,0,0,0,0,0, Zn,833,4.545454545,3,0.137614679,0.451376147,0.666666667
UCALIW_clean.cif,88,96,16,0,0,0,0,0,4,0,0,0,0,0,0,0, Cd,49,4.166666667,2,0.113207547,0.359245283,2
UCAXEC_clean.cif,28,36,4,0,0,0,0,0,0,0,4,0,0,0,0,0, Mn,22,11.11111111,4,0.227272727,0.763636364,0.25
UCEGAM_clean.cif,8,18,16,0,0,0,0,0,0,0,0,0,0,0,2,0, Mo,11,33.33333333,0.333333333,0.36,1.1104,8
UCEGEQ_clean.cif,8,18,16,0,0,0,0,0,0,0,0,0,0,0,2,0, Mo,11,33.33333333,0.333333333,0.36,1.1104,8
UCEXAC_clean.cif,36,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,55,8.333333333,6,0.24,0.8256,0
UCEXEG_clean.cif,36,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,55,8.333333333,6,0.24,0.8256,0
UCEXIK_clean.cif,36,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,55,8.333333333,6,0.24,0.8256,0
UCEXOQ_clean.cif,36,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,55,8.333333333,6,0.24,0.8256,0
UCOCUM_neutral.cif,24,72,0,0,0,0,0,12,0,0,0,0,0,0,0,0, Cu,61,16.66666667,4,0.121212121,0.416969697,0
UCOHUR_clean.cif,192,288,96,0,0,0,24,0,0,0,0,0,0,0,0,0, Zn,145,8.333333333,0,0.148148148,0.45037037,0
UCOJAZ_clean.cif,192,288,96,0,0,0,24,0,0,0,0,0,0,0,0,0, Zn,145,8.333333333,0,0.148148148,0.45037037,0
UCOJED_clean.cif,192,288,96,0,0,0,24,0,0,0,0,0,0,0,0,0, Zn,145,8.333333333,0,0.148148148,0.45037037,0
UCOJIH_clean.cif,192,288,96,0,0,0,24,0,0,0,0,0,0,0,0,0, Zn,145,8.333333333,0,0.148148148,0.45037037,0
UCOXOZ_clean.cif,160,180,36,0,0,0,0,12,0,0,0,0,0,0,0,0, Cu,92,6.666666667,2.666666667,0.161904762,0.522666667,1.125
UCUJOU_clean.cif,144,256,48,0,0,0,32,0,0,0,0,0,0,0,96,0, ZnMo,173,50,2,0.365384615,1.233846154,0.1875
